Date,Code,LongSellValue,ShortSellWithoutMarginValue,MarginSellNewValue,MarginSellCloseValue,LongBuyValue,MarginBuyNewValue,MarginBuyCloseValue,LongSellVolume,ShortSellWithoutMarginVolume,MarginSellNewVolume,MarginSellCloseVolume,LongBuyVolume,MarginBuyNewVolume,MarginBuyCloseVolume,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume,MorningOpen,MorningHigh,MorningLow,MorningClose,MorningUpperLimit,MorningLowerLimit,MorningVolume,MorningTurnoverValue,MorningAdjustmentOpen,MorningAdjustmentHigh,MorningAdjustmentLow,MorningAdjustmentClose,MorningAdjustmentVolume,AfternoonOpen,AfternoonHigh,AfternoonLow,AfternoonClose,AfternoonUpperLimit,AfternoonLowerLimit,AfternoonVolume,AfternoonTurnoverValue,AfternoonAdjustmentOpen,AfternoonAdjustmentHigh,AfternoonAdjustmentLow,AfternoonAdjustmentClose,AfternoonAdjustmentVolume,OpenCloseReturn,OpenCloseReturnRatio
2022-01-04,84110,6404595050.0,5081382000.0,730640400.0,1297080250.0,12515175900.0,694745450.0,303776350.0,4296600.0,3407200.0,489800.0,871500.0,8395000.0,466600.0,203500.0,1476.0,1499.5,1473.5,1495.0,0,0,9065100.0,13513697700.0,1.0,1476.0,1499.5,1473.5,1495.0,9065100.0,1476.0,1489.0,1473.5,1488.0,0,0,3282000.0,4861978700.0,1476.0,1489.0,1473.5,1488.0,3282000.0,1488.5,1499.5,1487.5,1495.0,0,0,5783100.0,8651719000.0,1488.5,1499.5,1487.5,1495.0,5783100.0,19.0,1.2872628726287263
2022-01-05,84110,7705967000.0,4685856850.0,627266850.0,1166379950.0,13029415250.0,762618550.0,393436850.0,5068000.0,3080800.0,412600.0,767700.0,8568100.0,502000.0,259000.0,1515.5,1527.5,1512.0,1523.0,0,0,9329100.0,14185470650.0,1.0,1515.5,1527.5,1512.0,1523.0,9329100.0,1515.5,1527.5,1512.0,1518.5,0,0,4439100.0,6742020600.0,1515.5,1527.5,1512.0,1518.5,4439100.0,1517.0,1526.0,1515.0,1523.0,0,0,4890000.0,7443450050.0,1517.0,1526.0,1515.0,1523.0,4890000.0,7.5,0.4948861761794788
2022-01-06,84110,5743051150.0,4774116950.0,467202300.0,1135534750.0,10633487000.0,1104149900.0,382268250.0,3758600.0,3125700.0,305600.0,742600.0,6959400.0,722700.0,250400.0,1535.0,1541.0,1516.0,1524.0,0,0,7932500.0,12119905150.0,1.0,1535.0,1541.0,1516.0,1524.0,7932500.0,1535.0,1541.0,1517.0,1517.5,0,0,4068600.0,6226918750.0,1535.0,1541.0,1517.0,1517.5,4068600.0,1516.0,1529.5,1516.0,1524.0,0,0,3863900.0,5892986400.0,1516.0,1529.5,1516.0,1524.0,3863900.0,-11.0,-0.7166123778501629
2022-01-07,84110,8891964250.0,7608019550.0,561837200.0,1511947450.0,16842716000.0,1353014600.0,378037850.0,5769700.0,4938700.0,364700.0,981200.0,10930800.0,878000.0,245500.0,1534.5,1551.0,1530.5,1540.5,0,0,12054300.0,18573768450.0,1.0,1534.5,1551.0,1530.5,1540.5,12054300.0,1534.5,1551.0,1530.5,1537.5,0,0,6269400.0,9666226400.0,1534.5,1551.0,1530.5,1537.5,6269400.0,1539.0,1544.0,1535.0,1540.5,0,0,5784900.0,8907542050.0,1539.0,1544.0,1535.0,1540.5,5784900.0,6.0,0.39100684261974583
2022-01-11,84110,12483450350.0,9827801600.0,1081201700.0,2984151000.0,23605731500.0,2203426600.0,567446550.0,7937200.0,6251900.0,687000.0,1896700.0,15006400.0,1404900.0,361500.0,1578.0,1587.5,1545.0,1587.5,0,0,16772800.0,26376604650.0,1.0,1578.0,1587.5,1545.0,1587.5,16772800.0,1578.0,1582.0,1545.0,1561.5,0,0,6780500.0,10581768750.0,1578.0,1582.0,1545.0,1561.5,6780500.0,1565.0,1587.5,1564.0,1587.5,0,0,9992300.0,15794835900.0,1565.0,1587.5,1564.0,1587.5,9992300.0,9.5,0.6020278833967047
2022-01-12,84110,9409616700.0,6192408950.0,685816450.0,1807309850.0,15944110450.0,1664722850.0,486318650.0,5940800.0,3907500.0,433300.0,1141600.0,10064100.0,1051900.0,307200.0,1577.0,1593.0,1570.5,1589.0,0,0,11423200.0,18095151950.0,1.0,1577.0,1593.0,1570.5,1589.0,11423200.0,1577.0,1593.0,1570.5,1581.5,0,0,5823700.0,9211475600.0,1577.0,1593.0,1570.5,1581.5,5823700.0,1583.5,1589.0,1582.0,1589.0,0,0,5599500.0,8883676350.0,1583.5,1589.0,1582.0,1589.0,5599500.0,12.0,0.7609384908053266
2022-01-13,84110,9861197300.0,4254433400.0,533691100.0,1457372250.0,14521454100.0,1208457300.0,376782650.0,6177800.0,2665600.0,334900.0,913000.0,9097400.0,757700.0,236200.0,1589.0,1603.5,1582.0,1600.5,0,0,10091300.0,16106694050.0,1.0,1589.0,1603.5,1582.0,1600.5,10091300.0,1589.0,1603.5,1582.0,1597.5,0,0,5464700.0,8707768600.0,1589.0,1603.5,1582.0,1597.5,5464700.0,1598.0,1601.0,1595.5,1600.5,0,0,4626600.0,7398925450.0,1598.0,1601.0,1595.5,1600.5,4626600.0,11.5,0.723725613593455
2022-01-14,84110,7418070550.0,7835514900.0,492982050.0,1309758650.0,15131679250.0,1534179600.0,390467300.0,4647200.0,4909900.0,308800.0,820400.0,9479900.0,961600.0,244800.0,1598.0,1605.5,1586.0,1598.5,0,0,10686300.0,17056326150.0,1.0,1598.0,1605.5,1586.0,1598.5,10686300.0,1598.0,1605.5,1586.0,1589.5,0,0,6083000.0,9707661700.0,1598.0,1605.5,1586.0,1589.5,6083000.0,1589.5,1600.0,1589.5,1598.5,0,0,4603300.0,7348664450.0,1589.5,1600.0,1589.5,1598.5,4603300.0,0.5,0.03128911138923655
2022-01-17,84110,5498556200.0,7414745350.0,489846950.0,1170266700.0,12791950450.0,1409107350.0,372357400.0,3432900.0,4630800.0,306200.0,730200.0,7987400.0,880100.0,232600.0,1598.0,1612.0,1594.0,1601.5,0,0,9100100.0,14573415200.0,1.0,1598.0,1612.0,1594.0,1601.5,9100100.0,1598.0,1612.0,1595.5,1597.0,0,0,5625000.0,9018663500.0,1598.0,1612.0,1595.5,1597.0,5625000.0,1597.0,1602.0,1594.0,1601.5,0,0,3475100.0,5554751700.0,1597.0,1602.0,1594.0,1601.5,3475100.0,3.5,0.2190237797246558
2022-01-18,84110,10698332750.0,8506127150.0,1249932700.0,2643662550.0,19460733350.0,2507119750.0,1130202050.0,6674900.0,5311200.0,779500.0,1640100.0,12134300.0,1564600.0,706800.0,1607.0,1625.5,1575.0,1588.0,0,0,14405700.0,23098055150.0,1.0,1607.0,1625.5,1575.0,1588.0,14405700.0,1607.0,1625.5,1603.0,1620.5,0,0,6337600.0,10253896950.0,1607.0,1625.5,1603.0,1620.5,6337600.0,1620.0,1621.0,1575.0,1588.0,0,0,8068100.0,12844158200.0,1620.0,1621.0,1575.0,1588.0,8068100.0,-19.0,-1.1823273179838207
